PREGUNTA	RESPUESTA
¿A QUÉ CIUDAD PROPUSO MUDAR LA CAPITAL DEL PAÍS EL EX PRESIDENTE RAÚL ALFONSÍN?	VIEDMA
¿QUÉ AVE DE DIBUJOS ANIMADOS DICE LA FRASE: ME PARECIÓ VER UN LINDO GATITO?	TWEETY
¿QUÉ MATERIAL SE UTILIZA PARA HACER ORIGAMI?	PAPEL
¿A QUÉ NOS REFERIMOS SI HABLAMOS DE EL GORDO DE NAVIDAD?	UN SORTEO DE LA LOTERÍA
¿CUÁNTOS METROS SON 1 KILÓMETRO?	MIL METROS
¿DÓNDE CRECE LA PARTE QUE SE SUELE CONSUMIR DE LA ZANAHORIA?	DEBAJO DE LA TIERRA
¿CON QUÉ OTRO NOMBRE SE SUELE LLAMAR A LA TÍPICA FOTO CARNET?	4 POR 4
¿DE QUÉ PAÍS FUE PRESIDENTE NELSON MANDELA?	SUDÁFRICA
¿A QUÉ SUPERHÉROE SE LO LLAMA EL HOMBRE DE ACERO?	SUPERMAN
¿APARECE ALGÚN ANIMAL EN EL ESCUDO NACIONAL ARGENTINO?	NO
¿CÓMO SE LLAMA LA FAMOSA PLAYA DE MAR DEL PLATA QUE TIENE DOS LOBOS MARINOS EN SU ENTRADA?	BRISTOL
¿AL ESTADIO DE QUÉ EQUIPO DE FÚTBOL, DE LOS DENOMINADOS GRANDES, LE DICEN EL CILINDRO?	RACING
¿DE QUÉ COLOR ES EL GATO GARFIELD, PROTAGONISTA DE LA SERIE QUE LLEVA SU NOMBRE?	NARANJA Y NEGRO
¿QUÉ ES UN GALEÓN?	UN TIPO DE EMBARCACIÓN
¿CUÁNTOS LADOS TIENEN LAS CELDAS DE LOS PANALES DE ABEJAS?	6
¿QUÉ PRESIDENTE NORTEAMERICANO RENUNCIÓ A RAIZ DEL ESCÁNDALO DE WATERGATE?	RICHARD NIXON
¿EN HONOR A QUÉ SANTO ELIGIÓ JORGE BERGOGLIO EL NOMBRE DE FRANCISCO?	SAN FRANCISCO DE ASÍS
¿DE QUÉ SIGNO DEL ZODÍACO ES UNA PERSONA QUE NACE EN LA PRIMERA SEMANA DE AGOSTO?	LEO
¿QUÉ TÍTULO UNIVERSITARIO TENÍA EL EX PRESIDENTE NÉSTOR KIRCHNER?	ABOGADO
SEGÚN EL TANGO INTERPRETADO POR CARLOS GARDEL, LA FRASE ES VOLVER CON LA FRENTE&amp;#x2026; ¿CON LA FRENTE CÓMO?	MARCHITA
¿EN QUÉ DEPORTE SE DESTACA EL ARGENTINO LUIS SCOLA?	BASQUET
¿A QUÉ MIEMBRO DE LA FAMILIA SE LO LLAMA EL BENJAMÍN?	AL HIJO MENOR
¿EN QUÉ CONTINENTE SE ENCUENTRA EL RÍO DANUBIO?	EUROPA
¿QUÉ INTEGRANTE DE LOS BEATLES FUE ASESINADO EN NUEVA YORK POR UN FAN?	JOHN LENNON
¿CON CUÁNTOS DADOS SE JUEGA A LA GENERALA?	5
¿POR DÓNDE RESPIRAN LA MAYORÍA DE LOS PECES?	POR LAS BRANQUIAS
¿CUÁNTAS CUERDAS TIENE UNA GUITARRA CONVENCIONAL?	SEIS
¿A QUÉ DIVA DE LA TELEVISIÓN SE LA LLAMA LA CHIQUI?	MIRTHA LEGRAND
¿CON QUÉ LETRA SE SUELE INDICAR LA MARCHA ATRAS EN LA PALANCA DE CAMBIOS DE UN AUTO?	R
¿EN QUÉ PROVINCIA ARGENTINA SE ENCUENTRA SAN CARLOS DE BARILOCHE?	RÍO NEGRO
¿QUÉ INSECTOS PRODUCEN LA JALEA REAL?	ABEJAS
¿POR QUÉ DEPORTE ES RECONOCIDO FLOYD MAYWEATHER&amp;lt;MAIGUEDER&amp;gt;?	BOXEO
¿DE QUÉ CONTINENTE ES ORIGINARIA LA QUINOA?	AMÉRICA
¿QUÉ MEDIDA DE UNA EMBARCACIÓN ES LA ESLORA?	EL LARGO
¿A TRAVÉS DE SUS VIDEOS EN QUE PLATAFORMA FUE DESCUBIERTO JUSTIN BIEBER?	YOUTUBE
¿DE QUÉ PAÍS FUE LÍDER POLÍTICO MAO?	CHINA
CUANDO MULTIPLICAMOS UN NÚMERO POSITIVO POR OTRO NEGATIVO, OBTENEMOS COMO RESULTADO UN NÚMERO ¿CÓMO?	NEGATIVO
¿CON QUÉ SIGLA SE CONOCE A LOS DECRETOS QUE SANCIONA EL PRESIDENTE DE LA NACIÓN?	DNU
¿A QUÉ RAZA DE PERROS SE LLAMA VULGARMENTE PERRO POLICÍA?	OVEJERO ALEMÁN
¿EN QUÉ MES COMIENZA EL OTOÑO EN NUESTRO HEMÍSFERIO?	MARZO
¿CUÁL ES LA CAPITAL DE BULGARIA?	SOFÍA
SEGÚN LA FÁBULA INFANTIL, ¿QUÉ ANIMAL ERA REALMENTE EL PATITO FEO?	UN CISNE
¿CUÁL ES LA CÁMARA ALTA DEL CONGRESO DE LA NACIÓN ARGENTINA?	CÁMARA DE SENADORES
¿QUÉ ES EL ZAFIRO?	UN MINERAL PRECIOSO
¿A QUÉ PINTOR ARGENTINO SE LO CONOCE COMO EL PINTOR DEL RIACHUELO?	QUINQUELA MARTÍN
¿DE QUÉ PARTE DEL CERDO SE OBTIENE EL JAMÓN?	DE LA PATA TRASERA
¿CÓMO SE DICE EN PORTUGUES GRACIAS?	OBRIGADO
SEGÚN EL REFRÁN, EL PEZ POR LA BOCA&amp;#x2026; ¿QUÉ?	MUERE
¿EN QUÉ PROVINCIA SE SANCIONÓ LA PRIMERA CONSTITUCIÓN NACIONAL EN 1853?	SANTA FE
¿A QUÉ SELECCIONADO ARGENTINO LE DICE LOS GLADIADORES?	SELECCIÓN DE HANDBALL
¿CÓMO SE LLAMA EL CIENTÍFICO QUE SE TRANSFORMA EN HULK?	BRUCE BANNER
SEGÚN EL CRISTIANISMO CATÓLICO, ¿CUÁNTOS PECADOS CAPITALES?	7
¿CON QUÉ OTRO NOMBRE SE CONOCE A LA PLEAMAR?	MAREA ALTA
¿EN QUÉ OPERACIÓN MATEMÁTICA EL RESULTADO SE LLAMA PRODUCTO?	MULTIPLICACIÓN
¿QUÉ ES UN ESCALPELO?	UN BISTURÍ
¿EN QUÉ PAÍS FUE EMBAJADOR EL CÓMICO DE MIDACHI MIGUEL DEL SEL?	PANAMÁ
¿A PARTIR DE QUÉ ALIMENTO SE PREPARA LA BEBIDA ALCOHÓLICA JAPONESA LLAMADA SAKE?	ARROZ
¿QUÉ SAGA DE PELÍCULAS PROTAGONIZA RAYO MC QUEEN?	CARS
¿CÓMO SE LLAMA EL ARROYO QUE FUE ENTUBADO, EN GRAN PARTE, BAJO LA AVENIDA JUAN B. JUSTO?	ARROYO MALDONADO
¿QUÉ MALESTAR CORPORAL SE CURA TIRANDO EL CUERITO?	EL EMPACHO
¿QUÉ TIPO DE INSTRUMENTO ES UN BONGÓ?	DE PERCUSIÓN
¿QUÉ CRÍA UN LOMBRICULTOR?	LOMBRICES
¿QUIÉN FUE EL AUTOR DE HAMLET Y MACBETH?	SHAKESPEARE
¿A QUÉ PROVINCIA SE CONOCE COMO EL JARDÍN DE LA REPÚBLICA?	TUCUMÁN
¿CUÁL ES EL CONTRARIO A CÓNCAVO?	CONVEXO
¿EN DÓNDE PINTÓ MIGUEL ÁNGEL EL FRESCO CONOCIDO COMO LA CREACIÓN DE ADÁN?	CAPILLA SIXTINA
¿CÓMO SE LLAMA AL ARTESANO QUE FABRICA O REPARA INSTRUMENTOS MUSICALES?	LUTHIER
¿QUÉ CANTIDAD DE LADOS TIENE UN NONÁGONO?	NUEVE
SEGÚN SU ACENTUACIÓN, ¿QUÉ TIPO DE PALABRA ES FANTÁSTICO?	ESDRÚJULA
¿CUÁNTAS DÉCADAS TIENE LA SEÑORA A LA QUE RICARDO ARJONA LE CANTA UN FAMOSO TEMA?	CUATRO DÉCADAS
¿DE QUÉ EQUIPO DE FÚTBOL ES HINCHA RECONOCIDO GUILLERMO FRANCELLA?	RACING
¿EN DÓNDE NACIÓ UNA PERSONA QUE LE DICEN BORICUA?	PUERTO RICO
¿QUÉ ÓRGANO HUMANO PRODUCE SÍSTOLES Y DIÁSTOLES?	EL CORAZON
¿QUÉ PREMIO NOBEL GANÓ MARTIN LUTHER KING?	DE LA PAZ
¿CUÁNTOS PAPAS TUVO LA IGLESIA CATÓLICA DESDE EL AÑO 2000 HASTA HOY?	TRES
¿CÓMO SE DICE LOCO EN INGLES?	CRAZY
¿EN QUÉ PROVINCIA SE CELEBRA LA FIESTA NACIONAL DEL CHAMAMÉ?	CORRIENTES
¿CON QUÉ ACTOR ESTÁ CASADA LA ACTRIZ NANCY DUPLÁA?	PABLO ECHARRI
¿CUÁNDO SE LE DICE A UNA PERSONA QUE ES SUSCEPTIBLE?	CUANDO SE OFENDE CON FACILIDAD
¿A QUÉ TÍPICA COMIDA SE LE HACE REPULGUE?	EMPANADA
¿EN QUÉ MES SE CELEBRA EN NUESTRO PAÍS EL DÍA DEL PADRE?	JUNIO
¿A QUÉ RAMA DEL ARTE ESTÁ RELACIONADA LA PALABRA PICTÓRICO?	PINTURA
¿CÚAL ES EL NOMBRE DE PILA DE LA VICEPRESIDENTA DE LA NACIÓN?	GABRIELA
¿DE QUÉ RECORDADO CANTOR DE TANGO SE DICE QUE CADA VEZ CANTA MEJOR?	CARLOS GARDEL
¿QUÉ PAÍS SE ENCUENTRA ACTUALMENTE EN EL TERRITORIO DONDE ESTABA EL IMPERIO AZTECA?	MÉXICO
¿FRENTE A QUÉ PLAZA DE LA CIUDAD DE BUENOS AIRES SE ENCUENTRA EL CABILDO?	PLAZA DE MAYO
¿DE QUÉ FAMOSO CONDUCTOR ES PAREJA GUILLERMINA VALDÉZ?	MARCELO TINELLI
¿CUÁL ES LA CAPITAL DE RUSIA?	MOSCÚ
¿QUÉ PARTE DEL HUEVO SE UTILIZA PARA HACER MERENGUE?	LA CLARA
¿CUÁNTOS DÍAS TIENE EN TOTAL EL MES DE SEPTIEMBRE?	30
¿A QUÉ POSICIÓN DE FÚTBOL HACE REFERENCIA EL TÉRMINO PORTERO?	ARQUERO
EN EL ANÁLISIS SINTÁCTICO, ¿QUÉ NOMBRE QUE RECIBE EL SUJETO CUANDO NO ESTÁ PRESENTE EN LA ORACIÓN?	SUJETO TÁCITO
COMÚNMENTE, ¿DE QUÉ CARNE ES UNA SUPREMA?	POLLO
¿A QUÉ ESTACIÓN DEL AÑO HACE REFERENCIA LA PALABRA ESTIVAL?	VERANO
¿CUÁL ES EL NOMBRE DE PILA DEL CANTANTE CONOCIDO COMO FITO PÁEZ?	RODOLFO
SEGÚN LA NOVELA DE JULIO VERNE, ¿EN CUÁNTO TIEMPO SE DA LA VUELTA AL MUNDO?	80 DÍAS
¿CERCA DE QUÉ FAMOSA CIUDAD TURÍSTICA SE ENCUENTRA EL GLACIAR PERITO MORENO?	CALAFATE
¿CÓMO SE LE DICE EN NUESTRO PAÍS AL MODO DE CABALGAR SIN MONTURAS NI RIENDAS?	A PELO
¿EN QUÉ FAMOSO JUEGO DE CARTAS DE LOS CASINOS EL OBJETIVO MÁXIMO ES SUMAR 21?	BLACKJACK
¿QUÉ ES EL TEST DE COOPER?	UNA PRUEBA DE RESISTENCIA FÍSICA
¿QUÉ PAÍS ESTÁ ASOCIADO DIRECTAMENTE A LOS CANGUROS Y LOS KOALAS?	AUSTRALIA
¿QUÉ ES UN XILOFÓN ?	UN INSTRUMENTO MUSICAL
¿QUÉ ANIMAL PROTAGONIZA LA PELÍCULA LIBEREN A WILLY?	UNA ORCA
¿DE QUÉ PAÍS ES DEPORTE NACIONAL EL SUMO?	JAPÓN
SEGÚN EL REFRÁN, ¿QUE SE LE PONE AL MAL TIEMPO?	BUENA CARA
¿CÓMO SE LLAMA EL AUTÓDROMO DE LA CIUDAD DE BUENOS AIRES?	OSCAR Y JUAN GÁLVEZ
¿CUÁL ES EL NOMBRE DE PILA DEL CONDUCTOR RADIAL Y TELEVISIVO KUSNETZOFF?	ANDRÉS
¿QUIÉN FUE EL COMPOSITOR DE LA SERIE DE CONCIERTOS PARA VIOLÍN Y ORQUESTA LAS CUATRO ESTACIONES?	VIVALDI
¿EN QUÉ REGIÓN DEL PAÍS HABITABAN MAYORITARIAMENTE LOS TEHUELCHES?	PATAGONIA
¿QUIÉN FUE EL PRIMER PAPA DE LA IGLESIA CATÓLICA?	SAN PEDRO
¿QUÉ FAMOSO ESCRITOR FUE CANDIDATO A PRESIDENTE DE PERÚ?	MARIO VARGAS LLOSA
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA EL CRISTALINO?	EL OJO
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA EL OMOPLATO?	EN LA ESPALDA
¿CÓMO SE LLAMA EL RECONOCIDO PUENTE DE COLOR BLANCO QUE SE ENCUENTRA EN PUERTO MADERO?	PUENTE DE LA MUJER
¿CUÁL ES EL INGREDIENTE PRINCIPAL DEL TÍPICO CEVICHE PERUANO?	PESCADO
¿CÓMO LE DICEN A LA SELECCIÓN DE RUGBY DE NUEVA ZELANDA?	LOS ALL BLACKS
¿DE QUÉ PROVINCIA FUE GOBERNADOR EL EX CORREDOR DE FÓRMULA 1 CARLOS REUTEMANN?	SANTA FE
¿QUÉ ANIMAL ES EL PERSONAJE DE DIBUJITOS ANIMADOS LLAMADO YOGUI &amp;lt;SHOGUI&amp;gt;?	UN OSO
¿A QUIÉN DEBO LLAMAR SI NECESITO CAMBIAR UN CUERITO?	PLOMERO
¿QUÉ HACE UN ESQUILADOR?	CORTA LA LANA O EL PELO DE LOS ANIMALES
¿QUÉ CARGO TIENE ACTUALMENTE LILITA CARRIÓ?	DIPUTADA NACIONAL
¿CON CUÁNTOS JUGADORES POR EQUIPO COMIENZA UN PARTIDO DE VOLEY?	SEIS
¿QUÉ PRESIDENTE DE ESTADOS UNIDOS ESTUVO INVOLUCRADO EN UN ESCÁNDALO SEXUAL CON MONICA LEWINSKY?	BILL CLINTON
¿QUIÉN FUE EL DIRECTOR DE LA PELÍCULA TITANIC?	JAMES CAMERON
¿CÓMO SE LLAMA LA ENFERMEDAD EN LA CUAL LOS NIVELES DE GLUCOSA DE LA SANGRE ESTÁN MUY ALTOS?	DIABETES
¿A QUÉ DEPORTE PERTENECE LA COPA DAVIS &amp;lt;DEIVIS&amp;gt;?	TENIS
SEGÚN EL TANGO CAMBALACHE, ¿QUÉ LE PASA AL QUE NO LLORA?	NO MAMA
PARA LOS BRASILEÑOS, ¿QUÉ DÍA ES LA SEGUNDA FEIRA?	LUNES
EN LA FAMOSA VECINDAD DEL CHAVO ¿EN QUE NÚMERO DE DEPARTAMENTO VIVÍA DOÑA CLOTILDE, APODADA LA BRUJA?	71
¿QUÉ HISTÓRICA NOVELA GÓTICA TRANSCURRE EN TRANSILVANIA?	DRÁCULA
¿CUÁNDO SE DICE QUE UNA PERSONA ES ALTRUISTA?	CUANDO BENEFICIA A OTROS
¿A QUÉ SISTEMA SOCIAL Y POLÍTICO SE ASOCIA A KARL MARX?	SOCIALISMO
¿QUÉ ESPECIALISTA DE LA SALÚD ATIENDE, A VECES, EN UN DIVÁN?	UN PSICÓLOGO
¿QUIÉN ES EL ACTUAL MINISTRO DEL INTERIOR?	ROGELIO FRIGERIO
¿EN QUÉ CONTINENTE SE ENCUENTRA LA CORDILLERA CONOCIDA COMO HIMALAYA?	ASIA
¿EN QUÉ EQUIPO DE FÚTBOL ITALIANO JUEGA MAURO ICARDI, ESPOSO DE WANDA NARA?	INTER DE MILÁN
¿EN QUÉ CIUDAD DE BUENOS AIRES ESTÁ EL PUERTO DE FRUTOS?	TIGRE
¿CUÁNTOS KILÓMETROS SE CORREN EN UNA MARATÓN?	42
¿QUIÉN ASUMIÓ LA PRESIDENCIA ARGENTINA TRAS LA MUERTE DE PERÓN EN 1974?	MARÍA ESTELA MARTÍNEZ
¿EN QUÉ MES SE CELEBRA, EN NUESTRO PAÍS, LA FIESTA NACIONAL DE LA CERVEZA?	OCTUBRE
EN UN AUTO CONVENCIONAL, ¿QUÉ PIE SE UTILIZA PARA PISAR EL EMBRAGUE?	EL IZQUIERDO
¿CÓMO SE LLAMA LA ESPECIALIDAD QUE SE OCUPA DEL CUIDADO Y TRATAMIENTO DE ENFERMEDADES DE LAS ENCÍAS?	PERIODONCIA
¿EN LA VIDA DE QUIÉN ESTÁ BASADA LA PELÍCULA DIARIOS DE MOTOCICLETA?	ERNESTO CHE GUEVARA
¿EN QUÉ RAMA DEL ARTE SE DESTACÓ JOAN &amp;lt;YOAN&amp;gt; MIRÓ?	PINTURA Y ESCULTURA
¿CÓMO SE LLAMA LA REINA DE INGLATERRA?	ISABEL
¿CUÁL ES LA CAPITAL DE COSTA RICA?	SAN JOSÉ
SEGÚN EL REFRÁN, ¿QUIÉNES GANAN CON EL RÍO REVUELTO?	LOS PESCADORES
¿EN QUÉ AÑO FUE LA ÚLTIMA NEVADA HISTÓRICA EN LA CIUDAD DE BUENOS AIRES?	2007
¿QUÉ ES EL ZUMBA?	UN DEPORTE FITNESS
¿CUÁL ES LA ISLA MÁS GRANDE DEL MAR CARIBE?	CUBA
¿CUÁNTOS AÑOS DURABA EL MANDATO PRESIDENCIAL EN NUESTRO PAÍS ANTES DE LA REFORMA CONSTITUCIONAL DE 1994?	6 AÑOS
¿CÚAL ES EL NOMBRE DE PILA DEL EX BOXEADOR MARAVILLA MARTÍNEZ?	SERGIO
¿POR LA INDEPENDENCIA DE QUÉ PAÍS LUCHÓ MAHATMA GANDHI?	INDIA
¿CÓMO SE LLAMA A LAS MERCANCÍAS COMPRADAS EN OTROS PAÍSES?	IMPORTACIONES
¿QUIÉN ES EL ACTUAL MINISTRO DE DEFENSA?	OSCAR AGUAD
¿QUÉ CLASE DE ANIMAL ES UN HUEMUL?	UN CIERVO
TRADICIONALMENTE, ¿QUÉ DÍA SE ARMA EL ÁRBOLITO DE NAVIDAD?	8 DE DICIEMBRE
¿QUIÉN ES EL ACTUAL MINISTRO DE HACIENDA?	NICOLÁS DUJOVNE
¿QUIÉN FUE EL AUTOR DEL LIBRO EL ORÍGEN DE LAS ESPECIES?	CHARLES DARWIN
¿A LOS HINCHAS DE QUÉ EQUIPO ROSARINO LES DICEN LOS LEPROSOS?	NEWELLS
¿CON QUÉ CORTE DE CARNE SE HACE COMÚNMENTE EL VITEL TONÉ?	PECETO
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA EL TRICEPS?	EN EL BRAZO
¿CÓMO SE LLAMA A LA TORRE DE SEÑALIZACIÓN LUMINOSA QUE SIRVE DE REFERENCIA PARA LOS NAVEGANTES?	FARO
¿A LA CRÍA DE QUÉ ANIMAL SE LE LLAMA CERVATILLO?	DEL CIERVO
¿EN QUÉ CIUDAD TURÍSTICA ARGENTINA HAY UN FAMOSO RELOJ CUCÚ?	CARLOS PAZ
¿DE QUÉ PLANETA ES EL PERSONAJE SUPERMAN?	KRYPTON
¿QUÉ ESTUDIA LA PODOLOGÍA?	ENFERMEDADES DEL PIE
¿CÓMO SE LA LLAMA LA HOJA EN LA QUE LOS MÚSICOS TIENEN SUS ACÓRDES?	PARTITURA
SEGÚN EL DICHO POPULAR, ¿QUÉ LE PASA AL QUE MADRUGA?	DIOS LO AYUDA
¿CON QUÉ OTRO NOMBRE SE CONOCIÓ AL FAMOSO BOXEADOR CASSIUSCLAY?	MUHAMMAD ALI
¿CÓMO SE LLAMA LA FLOR DEL NARANJO?	AZAHAR
¿CUÁL ES LA ÚNICA PROVINCIA ARGENTINA CON LA QUE LIMITA MISIONES?	CORRIENTES
¿LOS RECIBIDOS EN QUÉ PROFESIÓN REALIZAN EL LLAMADO JURAMENTO HIPOCRÁTICO?	MEDICINA
¿QUÉ HACE UNA PERSONA CLEPTÓMANA?	ROBA COMPULSIVAMENTE
¿QUIÉN ES CONSIDERADO EL PRIMER EXPLORADOR OCCIDENTAL EN LLEGAR A CHINA?	MARCO POLO
¿DE QUÉ RECONOCIDA BANDA DE ROCK FUE VOCALISTA ANDRÉS CIRO MARTÍNEZ?	LOS PIOJOS
EN LA SERIE LOS TRES CHIFLADOS ¿CÓMO SE LLAMA EL PERSONAJE TOTALMENTE CALVO?	CURLY
¿QUÉ TIPO DE VINO SE HACE CON LA UVA CHARDONNAY?	BLANCO
¿QUÉ PARTE DEL CUERPO LE FALTA AL PERSONAJE CLEMENTE?	LOS BRAZOS
¿EN QUÉ PAÍS EUROPEO SE ENTREGAN LOS PREMIOS GOYA AL CINE?	ESPAÑA
¿CUÁL ERA EL NOMBRE Y APELLIDO REAL DEL CÉLEBRE CANTANTE ARGENTINO SANDRO?	ROBERTO SÁNCHEZ
¿QUIÉN ES EL ACTUAL MINISTRO DE AMBIENTE Y DESARROLLO SUSTENTABLE?	SERGIO BERGMAN
EN EL JUEGO DE CARTAS LA ESCOBA DE 15, ¿DE QUÉ PALO ES EL 7 DE VELO?	DE ORO
SEGÚN EL REFRÁN, A BUEN ENTENDEDOR POCAS&amp;#x2026; ¿QUÉ?	PALABRAS
¿QUÉ ESCRITOR ES EL AUTOR DE LAS NOVELAS LA PREGUNTA DE SUS OJOS Y PAPELES EN EL VIENTO, AMBAS LLEVADAS AL CINE?	EDUARDO SACHERI
¿POR QUÉ APODO ERA CONOCIDO DIEGO MARADONA CUANDO NIÑO?	PELUSA
¿DE CUÁNTAS PARTES SE COMPONE LA SAGA DE EL PADRINO?	3
¿CON QUÉ NOMBRE SE CONOCE A LAS CÉLULAS SIN UN NÚCLEO DEFINIDO?	PROCARIOTAS
SEGÚN EL SIGNIFICADO DE LOS NÚMERO DE LA QUINIELA, ¿CUÁL REPRESENTA AL LOCO?	EL 22
¿CUÁL FUE LA GUERRA MUNDIAL QUE MAS DURÓ?	SEGUNDA GUERRA MUNDIAL
¿CUÁNTOS AÑOS DURA EL MANDATO PRESIDENCIAL EN ESTADOS UNIDOS?	4 AÑOS
¿DE QUÉ PAÍS SON TRADICIONALES LAS GEISHAS?	JAPÓN
¿QUÉ DEPORTE SE PRACTICA EN EL RECONOCIDO TOUR DE FRANCIA?	CICLISMO
¿QUÉ CARACTERIZA A UNA PERSONA VERBORRÁGICA?	QUE HABLA MUCHO
¿CON QUÉ NOMBRE ES CONOCIDO EL MUSEO DE ARTE LATINOAMERICANO DE BUENOS AIRES?	MALBA
¿EN QUÉ FAMOSO CUENTO INFANTIL PARTICIPAN LOS SIETE ENANITOS?	BLANCANIEVES
SEGÚN EL DICHO POPULAR, LO QUE NO TE MATA&amp;#x2026; ¿QUÉ TE HACE?	TE FORTALECE
¿CÓMO SE DENOMINA A LA REGIÓN GEOGRÁFICA Y CULTURAL QUE COMPONEN DINAMARCA, SUECIA Y NORUEGA?	ESCANDINAVIA
¿CUÁL ES LA RAÍZ CÚBICA DE 27?	3
¿CÓMO PREFIERE VIVIR UN ERMITAÑO?	DE MANERA SOLITARIA
¿CUÁL ES LA CAPITAL DE LA PROVINCIA DE ENTRE RÍOS?	PARANÁ
¿QUÉ ADEREZO SE ELABORA PRINCIPALMENTE CON HUEVOS Y ACEITE?	MAYONESA
¿EN QUÉ BATALLA EL SARGENTO CABRAL LE SALVÓ LA VIDA AL GENERAL SAN MARTÍN?	BATALLA DE SAN LORENZO
¿QUÉ NOMBRE RECIBE EL APARATO QUE MIDE LA PRESIÓN SANGUÍNEA?	TENSIÓMETRO
¿QUÉ TIPO DE INSTRUMENTO MUSICAL ES UN TROMBÓN?	DE VIENTO
¿EN QUÉ DEPORTE SE DESTACÓ JORGE LOCOMOTORA CASTRO?	BOXEO
¿CÓMO SE LE DICE AL CHORIZO CUANDO SE LO COCINA ABIERTO AL MEDIO?	MARIPOSA
¿A QUÉ MOMENTO DEL DÍA SE LE DICE ALBA?	AL AMANECER
¿CÓMO SE LLAMA LA ESPOSA DE DAVID BECKHAM?	VICTORIA
¿CUÁL ES LA ÚLTIMA PALABRA DEL HIMNO NACIONAL ARGENTINO QUE SE CANTA ACTUALMENTE?	MORIR
¿CON QUÉ APODO ES CONOCIDA LA MODELO Y CONDUCTORA CAROLINA ARDOHAIN?	PAMPITA
¿CÓMO SE LLAMA LA REGIÓN DE ORIENTE QUE SE UBICA ENTRE LOS RÍOS TIGRIS Y EUFRATES?	MESOPOTAMIA
LA FAMOSA FRASE DICE: OJOS QUE NO VEN (&amp;#x2026;), ¿Y COMO TERMINA?	CORAZÓN QUE NO SIENTE
EN GEOMETRÍA, ¿QUÉ LETRA DEL ALFABETO GRIEGO REPRESENTA EL NÚMERO 3,14?	PI
¿CUÁNTOS DÍAS TIENE EN TOTAL EL MES DE AGOSTO?	31 DÍAS
¿CUÁL ES EL PARALELO QUE SEPARA A LA TIERRA EN LOS HEMISFERIOS NORTE Y SUR?	ECUADOR
¿QUÉ ES LA ADRENALINA?	UNA HORMONA
¿EN QUÉ PROVINCIA DE NUESTRO PAÍS SE ENCUENTRA EL TREN A LAS NUBES?	SALTA
SEGÚN LA CREENCIA POPULAR, ¿CUÁNTAS HOJAS DEBE TENER UN TRÉBOL PARA TRAER SUERTE?	CUATRO
¿A QUÉ PRÓCER SE RECUERDA EL 20 DE JUNIO EN NUESTRO PAÍS?	MANUEL BELGRANO
¿A QUÉ MÚSICO ARGENTINO SE LO RELACIONA CON LA FRASE SAY NO MORE?	CHARLY GARCÍA
¿QUÉ ES EL ANCO?	UNA VARIEDAD DE ZAPALLO
¿CUÁL ES LA CAPITAL DE JAPÓN?	TOKIO
¿CUÁL ES EL INGREDIENTE PRINCIPAL DEL TOFU?	SOJA
¿CUÁL FUE EL PRINCIPAL DESCUBRIMIENTO DE ALFRED NOBEL?	LA DINAMITA
SEGÚN LA BIBLIA, ¿QUIÉN DIRIGIÓ EL ÉXODO DE LOS JUDÍOS DE EGIPTO?	MOISÉS
¿QUÉ PAÍS SE ENCUENTRA AL NORTE DE LOS ESTADOS UNIDOS?	CANADÁ
¿EN QUÉ PROVINCIA ARGENTINA ESTÁ LA CIUDAD DE BAHÍA BLANCA?	BUENOS AIRES
¿QUÉ PRENDA DE ROPA ES LA BABUCHA?	UN PANTALÓN
¿CUÁL DE ESTAS DOS PALABRAS ESTÁ PRIMERA EN EL DICCIONARIO?	RAYO
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA LA RÓTULA?	EN LA RODILLA
¿CUÁNTOS GRADOS TIENE UN ÁNGULO RECTO?	90  grados
¿CUÁL ES EL ÍNDICE DE LA BOLSA DE VALORES DE ARGENTINA?	MERVAL
¿CÓMO SE LLAMAN LAS ESPIGAS METÁLICAS QUE SE COLOCAN EN LAS BOTAS DE QUIEN CABALGA?	ESPUELAS
¿CUÁL ES EL SIGNIFICADO DE LA PALABRA ITALIANA FRATELLO?	HERMANO
¿DE QUÉ ÁRBOL SE OBTIENE LA ACEITUNA?	DEL OLIVO
¿EN QUÉ AÑO FUE ELEGIDO PRESIDENTE RAÚL ALFONSÍN?	1983
¿EN QUÉ PROVINCIA ARGENTINA SE ENCUENTRA EL CERRO URITORCO?	CÓRDOBA
¿QUÉ ES UN CACHALOTE?	UN MAMÍFERO MARINO
¿EN QUÉ JUEGO INFANTIL HAY QUE IR DE LA TIERRA AL CIELO SALTANDO?	RAYUELA
¿EN QUÉ AÑO TERMINÓ LA SEGUNDA GUERRA MUNDIAL?	1945
¿CUÁL ES EL INGREDIENTE PRINCIPAL DE UNA EMPANADA DE HUMITA?	CHOCLO
¿CUÁNTAS ESTRELLAS BLANCAS TIENE LA BANDERA DE LOS ESTADOS UNIDOS?	50
¿DE QUÉ RAZA ERA LA FAMOSA PERRA LASIE?	COLLIE
¿A QUÉ CLUB DE FÚTBOL ARGENTINO LE DICEN EL CICLÓN?	SAN LORENZO
